TF,Target
Zm00001d031665,Zm00001d025944
Zm00001d042305,Zm00001d033459
Zm00001d027757,Zm00001d039685
Zm00001d052905,Zm00001d001859
Zm00001d002762,Zm00001d022569
Zm00001d048527,Zm00001d028538
Zm00001d032265,Zm00001d017457
Zm00001d050781,Zm00001d046739
Zm00001d052133,Zm00001d018225
Zm00001d031665,Zm00001d006570
Zm00001d031673,Zm00001d025229
Zm00001d015515,Zm00001d047743
Zm00001d017986,Zm00001d006456
Zm00001d030069,Zm00001d028160
Zm00001d005100,Zm00001d041911
Zm00001d038355,Zm00001d011721
Zm00001d002364,Zm00001d046852
Zm00001d022526,Zm00001d015407
Zm00001d005892,Zm00001d024324
Zm00001d043706,Zm00001d047017
Zm00001d052905,Zm00001d007851
Zm00001d035605,Zm00001d042848
Zm00001d024324,Zm00001d022078
Zm00001d038191,Zm00001d018567
Zm00001d022628,Zm00001d040029
Zm00001d024324,Zm00001d001907
Zm00001d040090,Zm00001d002234
Zm00001d012260,Zm00001d042686
Zm00001d026271,Zm00001d012968
Zm00001d043378,Zm00001d043094
Zm00001d022295,Zm00001d002004
Zm00001d010399,Zm00001d034145
Zm00001d049543,Zm00001d014863
Zm00001d031796,Zm00001d028752
Zm00001d032578,Zm00001d006815
Zm00001d039324,Zm00001d026318
Zm00001d031796,Zm00001d009328
Zm00001d043474,Zm00001d026695
Zm00001d052288,Zm00001d009374
Zm00001d038907,Zm00001d036925
Zm00001d045533,Zm00001d035965
Zm00001d027846,Zm00001d035605
Zm00001d012427,Zm00001d030858
Zm00001d040362,Zm00001d008222
Zm00001d021591,Zm00001d049145
Zm00001d025896,Zm00001d044065
Zm00001d013357,Zm00001d030230
Zm00001d002364,Zm00001d038585
Zm00001d005970,Zm00001d021160
Zm00001d026191,Zm00001d039615
Zm00001d010676,Zm00001d038584
Zm00001d011560,Zm00001d043915
Zm00001d031725,Zm00001d020470
Zm00001d047081,Zm00001d050241
Zm00001d032265,Zm00001d036122
Zm00001d004512,Zm00001d040342
Zm00001d039324,Zm00001d014412
Zm00001d048082,Zm00001d006094
Zm00001d018530,Zm00001d014734
Zm00001d042287,Zm00001d038777
Zm00001d049364,Zm00001d047674
